dates;text
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;some ignore both reason amp conscience to justify murder amp enslavement SyrianRefugees ISIS http//tco/vmTgGnui
2015-09-13;UNHCR says total number of Syrian refugees in Egypt is  Egypt gov't has given  https//tco/zgjNaSoVm http
2015-09-13;Useful facts figures by  says most SyrianRefugees desperate still in region http//tco/xOPzpdmmPm http//
2015-09-13;thank you for introducing the syrian refugee matching fund politicsaside elxn SyrianRefugees
2015-09-13;Headed to the march for Syrian resettlement in St Louis tonight Will have coverage of issue in  this week S
2015-09-13;UNHCR says total number of Syrian refugees in Egypt is  Egypt gov't has given  https//tco/zgjNaSoVm http
2015-09-13;Charity begins at home As the world rallies around the plight of the SyrianRefugees SaudiArabia sits on K empty air co
2015-09-13;UNHCR says total number of Syrian refugees in Egypt is  Egypt gov't has given  https//tco/zgjNaSoVm http
2015-09-13;What religion you belong to when you destroy Holy places and kill people in the name of God Heart aches to see them SyrianRefugees
2015-09-13;Our immigrant nation's response to SyrianRefugees crisis has thus far not been very immigrant nationey Syria http//tco/
2015-09-13;FreePalestine SyrianRefugees syrianlivesmatter nothing but love for all of you inshallah
2015-09-13;America rescued hundreds of thousands of Cubans Vietnamese We must do the same for SyrianRefugees fleeing SyriaCrisis we helped create
2015-09-13;Thank you   for helping SyrianRefugees settle in new homes in Canada https//tco/HcUXSfuDu
2015-09-13;When ZarbeAzb launched Sindh/Punjab did not let FATA ppl enter the provinces amp V ask Europe amp US must accept SyrianRef
2015-09-13;UNHCR says total number of Syrian refugees in Egypt is  Egypt gov't has given  https//tco/zgjNaSoVm http
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;UNHCR says total number of Syrian refugees in Egypt is  Egypt gov't has given  https//tco/zgjNaSoVm http
2015-09-13;Credit where credit is due But why does the world believe you have taken in  SyrianRefugees  SaudiArabia https//tco/CEChAYfEd
